Disk Folder Name,Disk Relative Path,Size (MB),Reconciliation Status,Match Tier,Canonical Title,Canonical Author,Canonical ASIN,Canonical Series
art_of_war_librivox_64kb_mp3,_Uncataloged\art_of_war_librivox_64kb_mp3,33.43,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,The Art of War,Sun Tzu,B00URXOQ1E,art_of_war_librivox_64kb_mp3
[01] System Change,_Uncataloged\[01] System Change,689.38,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,System Change: A LitRPG Adventure,SunriseCV,B0BH9FDKP8,System Universe Series #1
Hunger Games 2,_Uncataloged\Hunger Games 2,159.84,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,En llamas [Catching Fire],"Suzanne Collins, Pilar Ramírez Tello - translator",B0DNTVTRZY,Los juegos del hambre [The Hunger Games] #2
Hunger Games 3,_Uncataloged\Hunger Games 3,160.79,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,Mockingjay,Suzanne Collins,1338589040,The Hunger Games #3
[01] A Thousand Li,_Uncataloged\[01] A Thousand Li,466.47,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,A Thousand Li: The First Step,Tao Wong,B0D7N19JGL,A Thousand Li #1
[02] A Thousand Li,_Uncataloged\[02] A Thousand Li,491.11,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,A Thousand Li: The First Step,Tao Wong,B0D7N19JGL,A Thousand Li #1
[03] A Thousand Li,_Uncataloged\[03] A Thousand Li,488.27,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,A Thousand Li: The First Step,Tao Wong,B0D7N19JGL,A Thousand Li #1
Deadly Assessments [_1648817904_LC_128_44100_Stereo.m4b,_Uncataloged\Deadly Assessments [_1648817904_LC_128_44100_Stereo.m4b,418.14,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,Deadly Assessments [Dramatized Adaptation],Drew Hayes,1648817904,"Fred, the Vampire Accountant #5"
Book 02 - Light Fantastic,_Uncataloged\Book 02 - Light Fantastic,183.47,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,The Light Fantastic,Terry Pratchett,B09LZ5HZGC,"Discworld #2, Discworld: Rincewind #2"
Book 06 - Wyrd Sisters,_Uncataloged\Book 06 - Wyrd Sisters,540.77,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,Brujerías [Wyrd Sisters],Terry Pratchett,B0B194R5SV,Mundodisco #6
Book 08 - Guards Guards,_Uncataloged\Book 08 - Guards Guards,280.45,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,CD01 Guards! Guards,Terry Pratchett,,Collection #8
Book 14 - Lords and Ladies,_Uncataloged\Book 14 - Lords and Ladies,371.79,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,Lords and Ladies CD 01,Terry Pratchett,,Collection #14
Book 15 - Men at Arms,_Uncataloged\Book 15 - Men at Arms,402.81,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,Men At Arms CD01,Terry Pratchett,,Disc World 15
Book 16 - Soul Music,_Uncataloged\Book 16 - Soul Music,299.09,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,Highways and Heartaches,Michael Streissguth,B0BTQ3F6M1,Collection #16
Book 26 - Thief of Time,_Uncataloged\Book 26 - Thief of Time,297.04,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,Time of the Thief,Ivy Hollins,B0D2C1KZ4R,Collection #26
Book 01 - The Colour of Magic,_Uncataloged\Book 01 - The Colour of Magic,284.57,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,The Colour of Magic Disc 01,Terry Pratchett,,Terry Pratchett #1
Book 04 - Mort,_Uncataloged\Book 04 - Mort,300.85,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,Mort CD01,Terry Pratchett,,Terry Pratchett #4
Book 17 - Interesting Times,_Uncataloged\Book 17 - Interesting Times,414.8,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,Interesting Times CD01,Terry Pratchett,,Disc World 17
Book 18 - Maskerade,_Uncataloged\Book 18 - Maskerade,243.64,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,01-16 Maskerade,Terry Pratchett,,Terry Pratchett #18
Book 22 - The Last Continent,_Uncataloged\Book 22 - The Last Continent,200.26,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,The Last Great Ape,"Ofir Drori, David McDannald",B00COA8P6U,Terry Pratchett #22
Book 34 - Thud,_Uncataloged\Book 34 - Thud,578.06,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,thud-1,Thud,,Terry Pratchett #34
Good Omens,_Uncataloged\Good Omens,193.67,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,De bons présages,"Neil Gaiman, Terry Pratchett",B08FRLNR8H,Terry Pratchett
The Mystery of a Hansom Cab - Superlative Victorian Crime Novel - BBC Audiobook - cheops,_Uncataloged\The Mystery of a Hansom Cab - Superlative Victorian Crime Novel - BBC Audiobook - cheops,152.16,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,The Mystery of a Hansom Cab (Unabridged),Fergus Hume,B002V8L75G,The Mystery of a Hansom Cab - Superlative Victorian Crime Novel - BBC Audiobook - cheops
01 Hunt For Red October,_Uncataloged\01 Hunt For Red October,37.27,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,The Hunt for Red October,Tom Clancy,B07D2HN6PP,"A Jack Ryan Novel (chronological order) #3, A Jack Ryan Novel (publication order) #1"
04 Clear & Present Danger,_Uncataloged\04 Clear & Present Danger,20.93,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,Clear and Present Danger,Tom Clancy,B004EBZ2GI,"A Jack Ryan Novel (chronological order) #6, A Jack Ryan Novel (publication order) #4"
Dragonsong_2,_Uncataloged\Dragonsong_2,198.04,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,"Dragonsong: Harper Hall Trilogy, Volume 1",Anne McCaffrey,B002V57VYA,"Harper Hall of Pern #1, Pern Novels [publication order] #3"
12 The Spine Of The World_2,_Uncataloged\12 The Spine Of The World_2,259.51,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,"The Spine of the World: Legend of Drizzt: Paths of Darkness, Book 2",R. A. Salvatore,B00HFW9SUE,Legend of Drizzt #12
13 Sea Of Swords_2,_Uncataloged\13 Sea Of Swords_2,250.23,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,"Sea of Swords: Legend of Drizzt: Paths of Darkness, Book 3",R. A. Salvatore,B00HNF85YI,Legend of Drizzt #13
28 Night Of The Hunter_2,_Uncataloged\28 Night Of The Hunter_2,322.31,PROMOTABLE_TO_CANONICAL,Tier 2: Leaf Folder Match,Soul Hunter,Aaron Dembski-Bowden,1789994241,Night Lords #1
