TargetFolder,Reason
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Kirill Klevanski\Dragon Heart Series\[03] Dragon Heart,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Sarah Lin\Street Cultivation\[02] Street Cultivation 2,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Kirill Klevanski\Dragon Heart Series\[05] Sea of Sorrow,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Eric Ugland\The Good Guys Series\[05] Dukes and Ladders,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Eric Ugland\The Good Guys Series\[01] One More Last Time,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Ivan Kal\Infinite Realm Series\[01] Monsters and Legends,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Kirill Klevanski\Dragon Heart Series\[07] Land of Demons,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\On Phone\Travis Beacham\Impact Winter\[02] Impact Winter Season 2 (2),Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Torsten Weitze; Tim Casey - translator\Torsten Weitze (2),Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Stephen R. Donaldson\Second Chronicles of Thomas Covenant,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Eric Ugland\The Good Guys Series\[11] Killing Them Awfully,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Kirill Klevanski\Dragon Heart Series\[12] Path to the Glory,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Kirill Klevanski\Dragon Heart Series\[08] Land of the Enemy,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Marvel audio books\Marvel - Avengers - Everybody Wants To Rule The World [GraphicAudio 256],Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Stephen R. Donaldson\Second Chronicles of Thomas Covenant (2),Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Kirill Klevanski\Dragon Heart Series\[11] Path to the Unknown,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Ivan Kal\Infinite Realm Series\[03] The Centennial Tournament,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Marvel audio books\Marvel - Alex Irvine - Marvel Super Heroes - Secret Wars 01 [GraphicAudio],Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Jaime Castle; Andy Peloquin\Dragonblood Assassin\[02] Red Claw,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Drew Hayes\Super Powereds - Not Dramatized\[02] Super Powereds,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Not On Phone\Drew Hayes\Super Powereds - Not Dramatized\[01] Super Powereds,Reason: Empty Shell
